id,title,link,difficulty,likes,ac,tags
51,N-Queens,https://leetcode.com/problems/n-queens,3,11863,67.30%,"[1, 4]"
416,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum,2,11862,46.20%,"[1, 7]"
114,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,2,11836,64.20%,"[1, 1, 5, 6, 5]"
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching,3,11794,28.10%,"[3, 7, 4]"
127,Word Ladder,https://leetcode.com/problems/word-ladder,3,11659,38.60%,"[1, 3, 6]"
242,Valid Anagram,https://leetcode.com/problems/valid-anagram,1,11612,64.10%,"[1, 3]"
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs,2,11602,63.70%,"[1, 4]"
91,Decode Ways,https://leetcode.com/problems/decode-ways,2,11591,34.50%,"[3, 7]"
240,Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii,2,11566,52.20%,"[1, 2, 2, 2]"
199,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view,2,11543,62.70%,"[5, 6, 5]"
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream,3,11500,51.70%,"[2, 1]"
134,Gas Station,https://leetcode.com/problems/gas-station,2,11467,45.60%,"[1, 2]"
217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate,1,11450,61.30%,[1]
792,Binary Search,https://leetcode.com/problems/binary-search,1,11379,57.10%,"[1, 2]"
162,Find Peak Element,https://leetcode.com/problems/find-peak-element,2,11310,45.80%,"[1, 2]"
167,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,2,11280,60.80%,"[1, 2, 2]"
268,Missing Number,https://leetcode.com/problems/missing-number,1,11252,64.90%,"[1, 8, 2, 8]"
92,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii,2,11207,47.40%,[1]
208,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree,2,11191,64.50%,"[1, 3]"
